trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_001,08:00:00,08:00:00,STOP_1,1
TRIP_001,08:01:00,08:01:00,STOP_2,2
TRIP_001,08:02:00,08:02:00,STOP_3,3
TRIP_001,08:03:00,08:03:00,STOP_4,4
TRIP_001,08:04:00,08:04:00,STOP_5,5
TRIP_001,08:05:00,08:05:00,STOP_6,6
TRIP_001,08:06:00,08:06:00,STOP_7,7
TRIP_001,08:07:00,08:07:00,STOP_8,8
TRIP_001,08:08:00,08:08:00,STOP_9,9
TRIP_001,08:09:00,08:09:00,STOP_10,10
TRIP_001,08:10:00,08:10:00,STOP_11,11
TRIP_001,08:11:00,08:11:00,STOP_12,12
TRIP_001,08:12:00,08:12:00,STOP_13,13
TRIP_001,08:13:00,08:13:00,STOP_14,14
TRIP_001,08:14:00,08:14:00,STOP_15,15
TRIP_001,08:15:00,08:15:00,STOP_16,16
TRIP_001,08:16:00,08:16:00,STOP_17,17
TRIP_001,08:17:00,08:17:00,STOP_18,18
TRIP_001,08:18:00,08:18:00,STOP_19,19
TRIP_001,08:19:00,08:19:00,STOP_20,20
TRIP_001,08:20:00,08:20:00,STOP_21,21
TRIP_001,08:21:00,08:21:00,STOP_22,22
TRIP_001,08:22:00,08:22:00,STOP_23,23
TRIP_001,08:23:00,08:23:00,STOP_24,24
TRIP_001,08:24:00,08:24:00,STOP_25,25
