trip_id,arrival_time,departure_time,stop_id,stop_sequence
CEMENT6_TRIP1,08:00:00,08:00:00,1,1
CEMENT6_TRIP1,08:03:00,08:03:00,2,2
CEMENT6_TRIP1,08:06:00,08:06:00,3,3
CEMENT6_TRIP1,08:09:00,08:09:00,4,4
CEMENT6_TRIP1,08:12:00,08:12:00,5,5
CEMENT6_TRIP1,08:15:00,08:15:00,6,6
CEMENT6_TRIP1,08:18:00,08:18:00,7,7
CEMENT6_TRIP1,08:21:00,08:21:00,8,8
CEMENT6_TRIP1,08:24:00,08:24:00,9,9
CEMENT6_TRIP1,08:27:00,08:27:00,10,10   
CEMENT6_TRIP2,08:30:00,08:30:00,1,1
CEMENT6_TRIP2,08:33:00,08:33:00,2,2
CEMENT6_TRIP2,08:36:00,08:36:00,3,3
CEMENT6_TRIP2,08:39:00,08:39:00,4,4
CEMENT6_TRIP2,08:42:00,08:42:00,5,5
CEMENT6_TRIP2,08:45:00,08:45:00,6,6
CEMENT6_TRIP2,08:48:00,08:48:00,7,7
CEMENT6_TRIP2,08:51:00,08:51:00,8,8
CEMENT6_TRIP2,08:54:00,08:54:00,9,9
CEMENT6_TRIP2,08:57:00,08:57:00,10,10   

CEMENT6_TRIP3,09:00:00,09:00:00,1,1
CEMENT6_TRIP3,09:03:00,09:03:00,2,2
CEMENT6_TRIP3,09:06:00,09:06:00,3,3
CEMENT6_TRIP3,09:09:00,09:09:00,4,4
CEMENT6_TRIP3,09:12:00,09:12:00,5,5
CEMENT6_TRIP3,09:15:00,09:15:00,6,6
CEMENT6_TRIP3,09:18:00,09:18:00,7,7
CEMENT6_TRIP3,09:21:00,09:21:00,8,8
CEMENT6_TRIP3,09:24:00,09:24:00,9,9
CEMENT6_TRIP3,09:27:00,09:27:00,10,10   
