trip_id,arrival_time,departure_time,stop_id,stop_sequence
CIRCULAR3_TRIP1,06:00:00,06:00:00,1,1
CIRCULAR3_TRIP1,06:05:00,06:05:00,2,2
CIRCULAR3_TRIP1,06:10:00,06:10:00,3,3
CIRCULAR3_TRIP1,06:15:00,06:15:00,4,4
CIRCULAR3_TRIP1,06:20:00,06:20:00,5,5
CIRCULAR3_TRIP1,06:25:00,06:25:00,6,6
CIRCULAR3_TRIP1,06:30:00,06:30:00,7,7
CIRCULAR3_TRIP1,06:35:00,06:35:00,8,8
CIRCULAR3_TRIP1,06:40:00,06:40:00,9,9
CIRCULAR3_TRIP1,06:45:00,06:45:00,10,10
CIRCULAR3_TRIP1,06:50:00,06:50:00,11,11
CIRCULAR3_TRIP1,06:55:00,06:55:00,12,12
CIRCULAR3_TRIP1,07:00:00,07:00:00,13,13
CIRCULAR3_TRIP1,07:05:00,07:05:00,14,14
CIRCULAR3_TRIP1,07:10:00,07:10:00,15,15
CIRCULAR3_TRIP1,07:15:00,07:15:00,16,16
CIRCULAR3_TRIP1,07:20:00,07:20:00,17,17
CIRCULAR3_TRIP1,07:25:00,07:25:00,18,18
CIRCULAR3_TRIP1,07:30:00,07:30:00,19,19
CIRCULAR3_TRIP1,07:35:00,07:35:00,20,20
CIRCULAR3_TRIP1,07:40:00,07:40:00,21,21
CIRCULAR3_TRIP1,07:45:00,07:45:00,22,22
CIRCULAR3_TRIP1,07:50:00,07:50:00,23,23
CIRCULAR3_TRIP2,08:00:00,08:00:00,1,1
CIRCULAR3_TRIP2,08:05:00,08:05:00,2,2
CIRCULAR3_TRIP2,08:10:00,08:10:00,3,3
CIRCULAR3_TRIP2,08:15:00,08:15:00,4,4
CIRCULAR3_TRIP2,08:20:00,08:20:00,5,5
CIRCULAR3_TRIP2,08:25:00,08:25:00,6,6
CIRCULAR3_TRIP2,08:30:00,08:30:00,7,7
CIRCULAR3_TRIP2,08:35:00,08:35:00,8,8
CIRCULAR3_TRIP2,08:40:00,08:40:00,9,9
CIRCULAR3_TRIP2,08:45:00,08:45:00,10,10
CIRCULAR3_TRIP2,08:50:00,08:50:00,11,11
CIRCULAR3_TRIP2,08:55:00,08:55:00,12,12
CIRCULAR3_TRIP2,09:00:00,09:00:00,13,13
CIRCULAR3_TRIP2,09:05:00,09:05:00,14,14
CIRCULAR3_TRIP2,09:10:00,09:10:00,15,15
CIRCULAR3_TRIP2,09:15:00,09:15:00,16,16
CIRCULAR3_TRIP2,09:20:00,09:20:00,17,17
CIRCULAR3_TRIP2,09:25:00,09:25:00,18,18
CIRCULAR3_TRIP2,09:30:00,09:30:00,19,19
CIRCULAR3_TRIP2,09:35:00,09:35:00,20,20
CIRCULAR3_TRIP2,09:40:00,09:40:00,21,21
CIRCULAR3_TRIP2,09:45:00,09:45:00,22,22
CIRCULAR3_TRIP2,09:50:00,09:50:00,23,23
