trip_id,arrival_time,departure_time,stop_id,stop_sequence

720_1,08:00:00,08:00:00,720_1,1
720_1,08:05:00,08:05:00,720_2,2
720_1,08:10:00,08:10:00,720_3,3
720_1,08:20:00,08:20:00,720_4,4

721_1,08:00:00,08:00:00,721_1,1
721_1,08:10:00,08:10:00,721_2,2
721_1,08:20:00,08:20:00,721_3,3

722_1,08:00:00,08:00:00,722_1,1
722_1,08:10:00,08:10:00,722_2,2
722_1,08:20:00,08:20:00,722_3,3

723_1,08:00:00,08:00:00,723_1,1
723_1,08:08:00,08:08:00,723_2,2
723_1,08:16:00,08:16:00,723_3,3

724_1,08:00:00,08:00:00,724_1,1
724_1,08:15:00,08:15:00,724_2,2

725_1,08:00:00,08:00:00,725_1,1
725_1,08:10:00,08:10:00,725_2,2
725_1,08:20:00,08:20:00,725_3,3

726_1,08:00:00,08:00:00,726_1,1
726_1,08:12:00,08:12:00,726_2,2
726_1,08:24:00,08:24:00,726_3,3

727_1,08:00:00,08:00:00,727_1,1
727_1,08:10:00,08:10:00,727_2,2
727_1,08:20:00,08:20:00,727_3,3
