stop_id,stop_name,stop_lat,stop_lon
720_1,Colmenar Viejo Estación,40.649629,-3.773747
720_2,Parada 2,40.647068,-3.782377
720_3,Parada 3,40.648653,-3.788320
720_4,Parada 4,40.657568,-3.771254

721_1,Colmenar Viejo Estación,40.649629,-3.773747
721_2,Parada 2,40.669472,-3.777718
721_3,Parada 3,40.656505,-3.773071

722_1,Colmenar Viejo Estación,40.649629,-3.773747
722_2,Parada 2,40.657911,-3.755559
722_3,Parada 3,40.660611,-3.766628

723_1,Colmenar Viejo Estación,40.649629,-3.773747
723_2,Parada 2,40.669234,-3.772758
723_3,Parada 3,40.671551,-3.773415

724_1,Colmenar Viejo Estación,40.649629,-3.773747
724_2,Parada 2,40.670986,-3.771697

725_1,Colmenar Viejo Estación,40.649629,-3.773747
725_2,Parada 2,40.657911,-3.755559
725_3,Parada 3,40.660348,-3.763228

726_1,Colmenar Viejo Estación,40.649629,-3.773747
726_2,Parada 2,40.672350,-3.769761
726_3,Parada 3,40.675756,-3.771571

727_1,Colmenar Viejo Estación,40.649629,-3.773747
727_2,Parada 2,40.667822,-3.776650
727_3,Parada 3,40.675756,-3.771571
