route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__630___,630_8__630___,630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,CAÑADA DE LAS MERINAS-CENTRO DE SALUD,630 COLMENAREJO,0,,8__630____1_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_01:00:00_2_c._v._36_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_01:30:00_1_c._v._37_8__630___,CAÑADA DE LAS MERINAS-CENTRO DE SALUD,630 COLMENAREJO,0,,8__630____1_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_02:00:00_2_c._v._37_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_02:30:00_1_c._v._38_8__630___,CAÑADA DE LAS MERINAS-CENTRO DE SALUD,630 COLMENAREJO,0,,8__630____1_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_03:00:00_2_c._v._38_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_03:30:00_1_c._v._39_8__630___,CAÑADA DE LAS MERINAS-CENTRO DE SALUD,630 COLMENAREJO,0,,8__630____1_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_06:00:00_2_c.__1_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_06:30:00_1_-__1_8__630___,PARQUE LA NAVA,lv 630 VALDEMORILLO,0,,8__630____1_-_IT_1,0
8__630___,630_8__630___,630_8__630___-8__630____1_06:30:00_2_c.__2_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_07:00:00_1_pa__2_8__630___,PARQUE LA NAVA,lv 630 VALDEMORILLO,0,,8__630____1_pa_IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_07:00:00_2_c.__3_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_07:15:00_2_c.__4_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,630 GALAPAGAR-VILLALBA,1,,8__630____2_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_07:30:00_1_pa__3_8__630___,PARQUE LA NAVA,lv 630 VALDEMORILLO,0,,8__630____1_pa_IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_07:30:00_2_pa__5_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,lv 630 GALAPAGAR - VILLALBA,1,,8__630____2_pa_IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_08:00:00_1_c.__4_8__630___,CAÑADA DE LAS MERINAS-CENTRO DE SALUD,630 COLMENAREJO,0,,8__630____1_c._IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_08:00:00_2_pa__6_8__630___,ESTACIÓN DE AUTOBUSES COLLADO VILLALBA,lv 630 GALAPAGAR - VILLALBA,1,,8__630____2_pa_IT_2,0
8__630___,630_8__630___,630_8__630___-8__630____1_08:30:00_1_pa__5_8__630___,PARQUE LA NAVA,lv 630 VALDEMORILLO,0,,8__630____1_pa_IT_2,0
